Address,vote_option,proposal_id
cosmos1s7jnk7t6yqzensdgpvkvkag022udk8429exc87,1,32
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,1,34
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,34
cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,1,34
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,34
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,34
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,34
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,1,34
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,34
cosmos10f9wkd6vdspac05djyfwfx0uxcqxapnqj8zdy5,1,34
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,1,35
cosmos1udpsgkgyutgsglauk9vk9rs03a3skc62dg4slh,1,35
cosmos1udpsgkgyutgsglauk9vk9rs03a3skc62dg4slh,1,34
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,34
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,35
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,1,34
cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,1,35
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,35
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,1,35
cosmos1kgddca7qj96z0qcxr2c45z73cfl0c75pma99x2,1,35
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,35
cosmos1emaa7mwgpnpmc7yptm728ytp9quamsvuz92x5u,1,35
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,3,34
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,35
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,35
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,1,35
cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,1,35
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,34
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,1,35
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,2,34
cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,1,35
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,2,34
cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,1,35
cosmos14k4pzckkre6uxxyd2lnhnpp8sngys9m6jtwwnd,1,35
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,1,36
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,1,36
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,36
cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,1,36
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,3,35
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,36
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,3,35
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,36
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,3,35
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,4,35
cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,1,36
cosmos16zgjnqxryhq2kftfuv8urp50x0xwt5dadd0z9v,2,36
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,3,35
cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,1,36
cosmos1e859xaue4k2jzqw20cv6l7p3tmc378pc5znax0,1,36
cosmos1d0aup392g3enru7eash83sedqclaxvp7vkr0y9,1,36
cosmos14k4pzckkre6uxxyd2lnhnpp8sngys9m6jtwwnd,1,36
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,3,35
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,1,36
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,36
cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,4,35
cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,1,36
cosmos1emaa7mwgpnpmc7yptm728ytp9quamsvuz92x5u,1,36
cosmos1jlr62guqwrwkdt4m3y00zh2rrsamhjf9kg0p2s,1,37
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,1,37
cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,1,37
